code,type,name,priority,year
30 02,program,ეროვნული საგანძურისა და დიპლომატიური წარმომადგენლობების დაცვის უსაფრთხოების დონის ამაღლება,,2014
30 03,program,"სამართალდამცავი სტრუქტურებისათვის მაღალკვალიფიციური კადრების მომზადება, გადამზადება, საარქივო ფონდების დიგიტალიზაცია, სამეცნიერო-კვლევითი საქმიანობა და მოქალაქეთა მომსახურება",,2014
30 04,program,შინაგან საქმეთა სამინისტროს სისტემის მოსამსახურეთა ჯანმრთელობის დაცვის მომსახურეობით უზრუნველყოფა,,2014
30 05,program,სახელმწიფო მატერიალური რეზერვების შექმნა და მართვა,,2014
30 06,program,,,2014
31 00,spending agency,საქართველოს დაზვერვის სამსახური,,2014
32 00,spending agency,საქართველოს განათლებისა და მეცნიერების სამინისტრო,,2014
32 01,program,განათლებისა და მეცნიერების სფეროში სახელმწიფო პოლიტიკის შემუშავება და პროგრამების მართვა,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 01 01,sub-program,,,2014
32 02,program,ზოგადი განათლება,,2014
32 02 01,sub-program,ზოგადსაგანმანათლებლო სკოლების დაფინანსება,,2014
32 02 02,sub-program,მასწავლებელთა პროფესიული განვითარების ხელშეწყობა,,2014
32 02 03,sub-program,უსაფრთხო საგანმანათლებლო გარემოს უზრუნველყოფა,,2014
32 02 04,sub-program,განსაკუთრებით ნიჭიერი ახალგაზრდების წახალისება,,2014
32 02 05,sub-program,განსაკუთრებული საჭიროების მქონე ბავშვების საგანმანათლებლო და საცხოვრებელი პირობებით უზრუნველყოფა და ინკლუზიური განათლების განვითარება,,2014
32 02 06,sub-program,მოსწავლეების სახელმძღვანელოებით უზრუნველყოფა,,2014
32 02 07,sub-program,საზაფხულო სკოლები,,2014
32 02 08,sub-program,ოკუპირებული რეგიონების პედაგოგებისა და ადმინისტრაციულ-ტექნიკური პერსონალის ფინანსური დახმარება,,2014
32 02 09,sub-program,სასჯელაღსრულების დაწესებულებებში განათლების მიღების ხელმისაწვდომობის პროგრამა,,2014
32 02 10,sub-program,ეროვნული სასწავლო გეგმების დანერგვა და მონიტორინგი,,2014
32 02 11,sub-program,ზოგადი განათლების ხელშეწყობის პროგრამები,,2014
32 02 12,sub-program,,,2014
32 03,program,პროფესიული განათლება,,2014
32 03 01,sub-program,პროფესიული განათლების ხელმისაწვდომობის და ხარისხის გაუმჯობესება,,2014
32 03 02,sub-program,ეროვნული უმცირესობების პროფესიული გადამზადება,,2014
32 03 03,sub-program,განათლების მართვის საინფორმაციო სისტემა,,2014
32 04,program,უმაღლესი საგანმანათლებლო და სამეცნიერო კვლევების პროგრამა,,2014
32 04 01,sub-program,გამოცდების ორგანიზება,,2014
32 04 02,sub-program,მეცნიერებისა და სამეცნიერო კვლევების ხელშეწყობა,,2014
32 04 02 01,sub-sub-program,სამეცნიერო გრანტების გაცემისა და სამეცნიერო კვლევების ხელშეწყობა,,2014
32 04 02 02,sub-sub-program,სამეცნიერო დაწესებულებების პროგრამები,,2014
32 04 02 03,sub-sub-program,მეცნიერებათა ეროვნული აკადემიის პროგრამების ხელშეწყობა,,2014
32 04 02 04,sub-sub-program,სოფლის მეურნეობის დარგში მეცნიერთა ხელშეწყობა,,2014
32 04 02 05,sub-sub-program,მეცნიერების აღდგენა და განვითარება,,2014
32 04 02 05 01,sub-sub-sub-program,,,2014
32 04 03,sub-program,"სახელმწიფო სასწავლო, სამაგისტრო გრანტები, დოქტორანტურის პროგრამები და ახალგაზრდების წახალისება",,2014
32 04 03 01,sub-sub-program,,,2014
32 04 03 02,sub-sub-program,,,2014
32 04 03 03,sub-sub-program,,,2014
32 04 03 04,sub-sub-program,,,2014
32 04 03 05,sub-sub-program,,,2014
32 04 04,sub-program,უმაღლესი საგანმანათლებლო დაწესებულებების ხელშეწყობა,,2014
32 04 05,sub-program,,,2014
32 05,program,საგანმანათლებლო დაწესებულებათა ინფრასტრუქტურის განვითარება,,2014
32 05 01,sub-program,საგანმანათლებლო დაწესებულებებისა და მოსწავლეების/სტუდენტების ინფორმაციულ-საკომუნიკაციო ტექნოლოგიებით უზრუნველყოფა,,2014
32 05 02,sub-program,საგანმანათლებლო დაწესებულებათა ინფრასტრუქტურის რეაბილიტაცია,,2014
32 05 02 01,sub-sub-program,,,2014
32 05 02 02,sub-sub-program,,,2014
32 05 02 03,sub-sub-program,,,2014
32 05 02 04,sub-sub-program,,,2014
32 05 03,sub-program,,,2014
32 05 04,sub-program,,,2014
32 05 05,sub-program,,,2014
32 06,program,ათასწლეულის გამოწვევა საქართველოს,,2014
32 06 01,sub-program,,,2014
32 06 02,sub-program,,,2014
32 06 02 01,sub-sub-program,,,2014
32 06 02 02,sub-sub-program,,,2014
32 06 02 03,sub-sub-program,,,2014
32 06 02 04,sub-sub-program,,,2014
32 07,program,,,2014
33 00,spending agency,საქართველოს კულტურისა და ძეგლთა დაცვის სამინისტრო,,2014
33 01,program,საქართველოს კულტურისა და ძეგლთა დაცვის სფეროში პოლიტიკის შემუშავება და პროგრამების მართვა,,2014
33 01 01,sub-program,,,2014
33 01 01,sub-program,,,2014
33 01 01,sub-program,,,2014
33 01 01,sub-program,,,2014
33 01 01,sub-program,,,2014
33 01 01,sub-program,,,2014
33 01 01,sub-program,,,2014
33 01 01,sub-program,,,2014
33 01 01,sub-program,,,2014
33 02,program,ხელოვნების დარგების განვითარების ხელშეწყობა და პოპულარიზაცია საქართველოში და მის ფარგლებს გარეთ,,2014
33 03,program,სახელოვნებო განათლების სისტემის ხელშეწყობა,,2014
33 04,program,კულტურული მემკვიდრეობის დაცვა და სამუზეუმო სისტემის სრულყოფა,,2014
33 04 01,sub-program,მუზეუმების ხელშეწყობა,,2014
33 04 02,sub-program,კულტურული მემკვიდრეობის დაცვა,,2014
33 05,program,კულტურის სფეროს მდგრადობის უზრუნველყოფის და ფინანსური ძლიერების პროგრამა,,2014
33 05 01,sub-program,კულტურის სფეროს ფინანსური გაძლიერების პროგრამა,,2014
33 05 02,sub-program,კულტურის სფეროს მდგრადობის უზრუნველყოფის საინვესტიციო ფონდი,,2014
34 00,spending agency,"საქართველოს ოკუპირებული ტერიტორიებიდან იძულებით  გადაადგილებულ პირთა, განსახლებისა და ლტოლვილთა სამინისტრო",,2014
34 01,program,იძულებით გადაადგილებულ პირთა და მიგრანტთა ხელშეწყობის მიზნით სახელმწიფო პოლიტიკის შემუშავება და პროგრამების მართვა,,2014
34 02,program,განსახლების ადგილებში დევნილთა შენახვა და მათი საცხოვრებელი პირობების გაუმჯობესება,,2014
34 03,program,,,2014
35 00,spending agency,"საქართველოს შრომის, ჯანმრთელობისა და სოციალური დაცვის სამინისტრო",,2014
35 01,program,"შრომის, ჯანმრთელობისა და სოციალური დაცვის პროგრამების მართვა",,2014
35 01 01,sub-program,"შრომის, ჯანმრთელობისა და სოციალური დაცვის სფეროში პოლიტიკის შემუშავება და მართვა",,2014
35 01 01,sub-program,,,2014
35 01 01,sub-program,,,2014
35 01 01,sub-program,,,2014
35 01 01,sub-program,,,2014
35 01 01,sub-program,,,2014
35 01 01,sub-program,,,2014
35 01 01,sub-program,,,2014
35 01 01,sub-program,,,2014
35 01 01,sub-program,,,2014
35 01 01,sub-program,,,2014
35 01 01,sub-program,,,2014
35 01 01,sub-program,,,2014
35 01 01,sub-program,,,2014
35 01 01,sub-program,,,2014
35 01 01,sub-program,,,2014
35 01 01,sub-program,,,2014
35 01 01,sub-program,,,2014
35 01 01,sub-program,,,2014
35 01 01,sub-program,,,2014
35 01 01,sub-program,,,2014
35 01 01,sub-program,,,2014
35 01 01,sub-program,,,2014
35 01 01,sub-program,,,2014
35 01 01,sub-program,,,2014
35 01 01,sub-program,,,2014
35 01 01,sub-program,,,2014
35 01 01,sub-program,,,2014
35 01 01,sub-program,,,2014
35 01 01,sub-program,,,2014
35 01 01,sub-program,,,2014
35 01 02,sub-program,სამედიცინო საქმიანობის რეგულირების პროგრამა,,2014
35 01 03,sub-program,დაავადებათა კონტროლისა და ეპიდემიოლოგიური უსაფრთხოების პროგრამის მართვა,,2014
35 01 04,sub-program,სოციალური და ჯანმრთელობის დაცვის პროგრამების მართვა,,2014
35 01 05,sub-program,"სახელმწიფო ზრუნვის, ადამიანით ვაჭრობის (ტრეფიკინგის) მსხვერპლთა დაცვა და დახმარების პროგრამა",,2014
35 01 06,sub-program,სამედიცინო მედიაციის პროგრამა,,2014
35 01 07,sub-program,ნარკომანიით დაავადებულ პირთა რეაბილიტაციის ხელშეწყობის პროგრამა,,2014
35 01 08,sub-program,სასწრაფო სამედიცინო დახმარების პროგრამა,,2014
35 02,program,სოციალური დაცვა და საპენსიო უზრუნველყოფა,,2014
35 02 01,sub-program,საპენსიო უზრუნველყოფა,,2014
35 02 02,sub-program,სოციალური დახმარებები,,2014
35 02 03,sub-program,სოციალური რეაბილიტაცია და ბავშვზე ზრუნვა,,2014
35 03,program,ჯანმრთელობის დაცვის პროგრამა,,2014
35 03 01,sub-program,ჯანმრთელობის დაზღვევა,,2014
35 03 02,sub-program,მოსახლეობის საყოველთაო ჯანმრთელობის დაცვა,,2014
35 03 02 01,sub-sub-program,,,2014
35 03 02 02,sub-sub-program,,,2014
35 03 02 03,sub-sub-program,,,2014
35 03 02 04,sub-sub-program,,,2014
35 03 02 05,sub-sub-program,,,2014
35 03 02 06,sub-sub-program,,,2014
35 03 02 07,sub-sub-program,,,2014
35 03 02 08,sub-sub-program,,,2014
35 03 02 09,sub-sub-program,,,2014
35 03 02 10,sub-sub-program,,,2014
35 03 02 11,sub-sub-program,,,2014
35 03 02 12,sub-sub-program,,,2014
35 03 03,sub-program,საზოგადოებრივი ჯანმრთელობის დაცვა,,2014
35 03 03 01,sub-sub-program,დაავადებათა ადრეული გამოვლენა და სკრინინგი,,2014
35 03 03 02,sub-sub-program,იმუნიზაცია,,2014
35 03 03 03,sub-sub-program,ეპიდზედამხედველობის პროგრამა,,2014
35 03 03 04,sub-sub-program,უსაფრთხო სისხლი,,2014
35 03 03 05,sub-sub-program,პროფესიულ დაავადებათა პრევენცია,,2014
35 03 03 06,sub-sub-program,ინფექციური დაავადებების მართვა,,2014
35 03 03 07,sub-sub-program,ტუბერკულოზის მართვა,,2014
35 03 03 08,sub-sub-program,აივ ინფექცია/შიდსი,,2014
35 03 03 09,sub-sub-program,დედათა და ბავშვთა ჯანმრთელობა,,2014
35 03 03 10,sub-sub-program,ნარკომანია,,2014
35 03 03 11,sub-sub-program,,,2014
35 03 03 12,sub-sub-program,,,2014
35 03 03 13,sub-sub-program,ყველა ფორმის ტუბერკულოზის ხარისხიან დიაგნოსტიკასა და მკურნალობაზე უნივერსალური ხელმისაწვდომობის პროგრამა,,2014
35 03 03 14,sub-sub-program,"საქართველოში აივ ინფექცია/შიდსის პრევენციის მიზნით არსებული ეროვნული რეაგირების მხარდაჭერა, აივ ინფექცია/შიდსით დაავადებულთა სიცოცხლის მაჩვენებლების გაუმჯობესება მკურნალობისა და მოვლის ღონისძიებების გაძლიერების გზით",,2014
35 03 03 15,sub-sub-program,,,2014
35 03 03 16,sub-sub-program,,,2014
35 03 03 17,sub-sub-program,,,2014
35 03 03 18,sub-sub-program,,,2014
35 03 03 19,sub-sub-program,,,2014
35 03 03 21,sub-sub-program,,,2014
35 03 04,sub-program,მოსახლეობისათვის სამედიცინო მომსახურების მიწოდება პრიორიტეტულ სფეროებში,,2014
35 03 04 01,sub-sub-program,ფსიქიკური ჯანმრთელობა,,2014
35 03 04 02,sub-sub-program,დიაბეტის მართვა,,2014
35 03 04 03,sub-sub-program,ბავშვთა ონკოჰემატოლოგიური მომსახურება,,2014
35 03 04 04,sub-sub-program,დიალიზი და თირკმლის ტრანსპლანტაცია,,2014
35 03 04 05,sub-sub-program,ინკურაბელურ პაციენტთა პალიატიური მზრუნველობა,,2014
35 03 04 06,sub-sub-program,იშვიათი დაავადებების მქონე და მუდმივ ჩანაცვლებით მკურნალობას დაქვემდებარებულ პაციენტთა მკურნალობა,,2014
35 03 04 07,sub-sub-program,სასწრაფო გადაუდებელი დახმარება და სამედიცინო ტრანსპორტირება,,2014
35 03 04 08,sub-sub-program,სოფლის ექიმი,,2014
35 03 04 09,sub-sub-program,რეფერალური მომსახურება,,2014
35 03 04 10,sub-sub-program,სამხედრო ძალებში გასაწვევ მოქალაქეთა სამედიცინო შემოწმება,,2014
35 03 05,sub-program,დიპლომისშემდგომი სამედიცინო განათლება,,2014
35 03 06,sub-program,"სამედიცინო მომსახურების შეუფერხებელი მიწოდების მიზნით, სამედიცინო დაწესებულებების ფინანსური ხელშეწყობის ღონისძიებები",,2014
35 03 07,sub-program,,,2014
35 04,program,სამედიცინო დაწესებულებათა რეაბილიტაცია და აღჭურვა,,2014
35 05,program,,,2014
35 05 01,sub-program,,,2014
36 00,spending agency,საქართველოს ენერგეტიკის სამინისტრო,,2014
36 01,program,ენერგეტიკის სფეროში პოლიტიკის შემუშავება და მართვა,,2014
36 01 01,sub-program,ენერგეტიკის სამინისტროს აპარატი,,2014
36 01 01,sub-program,,,2014
36 01 01,sub-program,,,2014
36 01 01,sub-program,,,2014
36 01 01,sub-program,,,2014
36 01 01,sub-program,,,2014
36 01 01,sub-program,,,2014
36 01 01,sub-program,,,2014
36 01 01,sub-program,,,2014
36 01 01,sub-program,,,2014
36 01 02,sub-program,სსიპ-ნავთობისა და გაზის სახელმწიფო სააგენტო,,2014
36 01 03,sub-program,"მოსახლეობის ელექტროენერგიითა და ბუნებრივი აირით მომარაგების გაუმჯობესება, ელექტროგადამცემი ხაზებისა და გამანაწილებელი ინფრასტრუქტურის მშენებლობა",,2014
36 02,program,ყაზბეგის მუნიციპალიტეტისა და დუშეთის მუნიციპალიტეტის მაღალმთიანი სოფლების მოსახლეობისათვის მიწოდებული ბუნებრივი აირის ღირებულების ანაზღაურების ღონისძიება,,2014
36 02 03 01,sub-sub-program,,,2014
36 03,program,ენერგეტიკული ინფრასტრუქტურის მშენებლობა-რეაბილიტაცია,,2014
36 03 01,sub-program,ენგურის ჰიდროელექტროსადგურის რეაბილიტაციის პროექტი (ევროპის რეკონსტრუქციისა და განვითარების ბანკი),,2014
36 03 02,sub-program,"ვარდნილისა და ენგურის ჰიდროელექტროსადგურების რეაბილიტაციის პროექტი (ევროპის საინვესტიციო ბანკი, ევროკავშირი)",,2014
36 03 03,sub-program,ენერგეტიკის ინფრასტრუქტურის განვითარება (ამერიკის შეერთებული შტატების საერთაშორისო განვითარების სააგენტო),,2014
36 04,program,სასისტემო მნიშვნელობის ელექტროგადამცემი ქსელის განვითარება,,2014
36 04 01,sub-program,რეგიონალური ელექტროგადაცემის გაუმჯობესების პროექტი (აზიის განვითარების ბანკი),,2014
36 04 02,sub-program,"500-220კვ ქ/ს-ის ""ჯვარი"" და შესაბამისი ხაზების მშენებლობა (გერმანიის რეკონსტრუქციის საკრედიტო ბანკი, EC, ევროპის რეკონსტრუქციისა და განვითარების ბანკი)",,2014
36 04 03,sub-program,"220კვ ""ახალციხე-ბათუმი"" ხაზის მშენებლობა (მსოფლიო ბანკი)",,2014
36 04 04,sub-program,"შავი ზღვის ელექტროგადამცემი ქსელის პროექტი (გერმანიის რეკონსტრუქციის საკრედიტო ბანკი, ევროპის საინვესტიციო ბანკი, ევროპის რეკონსტრუქციისა და განვითარების ბანკი)",,2014
36 06,program,,,2014
37 00,spending agency,საქართველოს სოფლის მეურნეობის სამინისტრო,,2014
37 01,program,სოფლის მეურნეობის განვითარების პროგრამა,,2014
37 01 01,sub-program,სოფლის მეურნეობის განვითარების პოლიტიკის შემუშავება და მართვა,,2014
37 01 01,sub-program,,,2014
37 01 01,sub-program,,,2014
37 01 01,sub-program,,,2014
37 01 01,sub-program,,,2014
37 01 01,sub-program,,,2014
37 01 01,sub-program,,,2014
37 01 01,sub-program,,,2014
37 01 01,sub-program,,,2014
37 01 01,sub-program,,,2014
37 01 01,sub-program,,,2014
37 01 01,sub-program,,,2014
37 01 01,sub-program,,,2014
37 01 01,sub-program,,,2014
37 01 01,sub-program,,,2014
37 01 01,sub-program,,,2014
37 01 01,sub-program,,,2014
37 01 01,sub-program,,,2014
37 01 01,sub-program,,,2014
37 01 02,sub-program,სოფლის მეურნეობის განვითარების პროგრამის მართვა და ადმინისტრირება რეგიონებში,,2014
37 01 03,sub-program,სამელიორაციო სისტემების მოდერნიზაცია,,2014
37 01 04,sub-program,ქართული აგროსასურსათო პროდუქციის პოპულარიზაცია,,2014
37 01 05,sub-program,სასოფლო-სამეურნეო კოოპერატივების ხელშეწყობის ღონისძიებები,,2014
37 01 06,sub-program,სოფლის მეურნეობის დარგში სამეცნიერო კვლევითი ღონისძიებების განხორციელება,,2014
37 01 07,sub-program,შეღავათიანი აგროკრედიტები,,2014
37 01 08,sub-program,მცირემიწიან ფერმერთა საგაზაფხულო სამუშაოების ხელშეწყობის ღონისძიებები,,2014
37 01 09,sub-program,აგროსექტორის განვითარება/ხელშეწყობა,,2014
37 01 10,sub-program,,,2014
37 01 11,sub-program,,,2014
37 01 12,sub-program,,,2014
37 01 13,sub-program,,,2014
37 01 14,sub-program,,,2014
37 01 15,sub-program,აგროდაზღვევის უზრუნველყოფის ღონისძიებები,,2014
37 01 16,sub-program,ვაშლის მოსავლის რეალიზაციის ხელშეწყობის ღონისძიებები,,2014
37 01 17,sub-program,ყურძნის შესყიდვა-გადამუშავების ხელშეწყობის ღონისძიებები,,2014
37 01 19,sub-program,მანდარინის (არასტანდარტული) მოსავლის რეალიზაციის ხელშეწყობის ღონისძიებები,,2014
37 01 20,sub-program,,,2014
37 02,program,"სურსათის უვნებლობა, მცენარეთა დაცვა და ეპიზოოტიური კეთილსაიმედოობა",,2014
37 03,program,მევენახეობა-მეღვინეობის განვითარება,,2014
37 04,program,,,2014
38 00,spending agency,საქართველოს გარემოსა და ბუნებრივი რესურსების დაცვის სამინისტრო,,2014
38 01,program,"გარემოს დაცვის სფეროში პოლიტიკის შემუშავება, რეგულირება და მართვა",,2014
38 02,program,გარემოსდაცვითი ზედამხედველობა,,2014
38 03,program,დაცული ტერიტორიების სისტემის ჩამოყალიბება და მართვა,,2014
38 04,program,სატყეო სისტემის ჩამოყალიბება და მართვა,,2014
38 05,program,სანერგე მეურნეობის სისტემის ჩამოყალიბება და მართვა,,2014
38 06,program,გარემოსდაცვით ინფორმაციაზე ხელმისაწვდომობისა და გარემოსდაცვითი განათლების ხელშეწყობის პროგრამა,,2014
38 07,program,"გარემოს დაცვის სფეროში მონიტორინგი, პროგნოზირება და პრევენცია",,2014
38 08,program,,,2014
39 00,spending agency,საქართველოს სპორტისა და ახალგაზრდობის საქმეთა სამინისტრო,,2014
39 01,program,სპორტისა და ახალგაზრდობის საქმეთა სფეროების სახელმწიფო პოლიტიკის შემუშავება და მართვა,,2014
39 02,program,სპორტის განვითარების ხელშეწყობის ღონისძიებები,,2014
39 03,program,სპორტის სფეროში დამსახურებულ მოღვაწეთა სოციალური დაცვის ღონისძიებები,,2014
39 04,program,ახალგაზრდობის სფეროში სახელმწიფო ხელშეწყობის ღონისძიებები,,2014
40 00,spending agency,საქართველოს სახელმწიფო დაცვის სპეციალური სამსახური,,2014
40 01,program,დასაცავ პირთა და ობიექტთა უსაფრთხოების უზრუნველყოფა,,2014
40 02,program,სახელმწიფო ობიექტების მოვლა-შენახვა,,2014
41 00,spending agency,საქართველოს სახალხო დამცველის აპარატი,,2014
41 01,program,საქართველოს სახალხო დამცველის აპარატის ფუნქციონირების გაძლიერების ღონისძიებები (საქართველოს სახალხო დამცველის აპარატი,,2014
42 00,spending agency,სსიპ – საზოგადოებრივი მაუწყებელი,,2014
42 01,program,მაუწყებლობის ხელშეწყობა,,2014
43 00,spending agency,სსიპ – კონკურენციისა და სახელმწიფო შესყიდვების სააგენტო,,2014
43 01,program,სსიპ - კონკურენციისა და სახელმწიფო შესყიდვების სააგენტო,,2014
43 02,program,,,2014
44 00,spending agency,სამხრეთ ოსეთის ადმინისტრაცია,,2014
45 00,spending agency,საქართველოს საპატრიარქო,,2014
45 01,program,სასულიერო განათლების ხელშეწყობის გრანტი,,2014
45 02,program,ა(ა)იპ საქართველოს საპატრიარქოს წმიდა სვიმონ კანანელის სახელობის სასულიერო სწავლების ცენტრი,,2014
45 03,program,ა(ა)იპ – ბათუმისა და ლაზეთის ეპარქიის საგანმანათლებლო ცენტრისათვის გადასაცემი გრანტი,,2014
45 04,program,"საქართველოს საპატრიარქოს წმიდა ნინოს სახელობის ობოლ, უპატრონო და მზრუნველობამოკლებულ ბავშვთა პანსიონატისათვის გადასაცემი გრანტი",,2014
45 05,program,საქართველოს საპატრიარქოს ბათუმის წმინდა მოწამე ეკატერინეს სახელობის სათნოების სავანისათვის გადასაცემი გრანტი,,2014
45 06,program,საქართველოს საპატრიარქოს წმინდა ანდრია პირველწოდებულის სახელობის სასულიერო სწავლების ცენტრისათვის გადასაცემი გრანტი,,2014
45 07,program,წმინდა გიორგი მთაწმინდელის მონასტერთან არსებული სარეაბილიტაციო ცენტრისათვის გადასაცემი გრანტი,,2014
45 08,program,საქართველოს საპატრიარქოს წმინდა ანდრია პირველწოდებულის სახელობის ქართული უნივერსიტეტისათვის გადასაცემი გრანტი,,2014
45 09,program,საქართველოს საპატრიარქოს ა(ა)იპ – ტბელ აბუსერისძის სახელობის უნივერსიტეტისათვის გადასაცემი გრანტი,,2014
45 10,program,ა(ა)იპ – სმენადაქვეითებულ ბავშვთა რეაბილიტაციის და ადაპტაციის ცენტრისათვის გადასაცემი გრანტი,,2014
45 11,program,საქართველოს საპატრიარქოს ტელევიზიის სუბსიდირების ღონისძიებები,,2014
45 12,program,ა(ა)იპ – ახალქალაქისა და კუმურდოს ეპარქიის სასწავლო ცენტრისთვის გადასაცემი გრანტი,,2014
45 13,program,ა(ა)იპ ფოთის საგანმანათლებლო და კულტურულ-გამაჯანსაღებელი ცენტრი,,2014
46 00,spending agency,სსიპ – ლევან სამხარაულის სახელობის სასამართლო ექსპერტიზის ეროვნული ბიურო,,2014
47 00,spending agency,სსიპ – საქართველოს სტატისტიკის ეროვნული სამსახური – საქსტატი,,2014
47 01,program,სტატისტიკური სამუშაოების დაგეგმვა და მართვა,,2014
47 02,program,სტატისტიკური სამუშაოების სახელმწიფო პროგრამა,,2014
47 03,program,მოსახლეობისა და საცხოვრისების საყოველთაო აღწერა,,2014
47 04,program,,,2014
47 05,program,,,2014
48 00,spending agency,სსიპ - საქართველოს დაზღვევის სახელმწიფო ზედამხედველობის სამსახური,,2014
49 00,spending agency,სსიპ - საქართველოს ეროვნული საინვესტიციო სააგენტო,,2014
49 01,program,საინვესტიციო პოლიტიკის დაგეგმვა და მართვა,,2014
49 01 01,sub-program,,,2014
49 01 01,sub-program,,,2014
49 02,program,ინვესტიციების მოზიდვის ხელშეწყობა,,2014
49 03,program,,,2014
49 04,program,,,2014
49 04 01 01,sub-sub-program,,,2014
49 04 01 02,sub-sub-program,,,2014
49 05,program,,,2014
49 06,program,,,2014
49 07,program,,,2014
49 08,program,,,2014
49 10,program,,,2014
49 12,program,,,2014
49 13,program,,,2014
49 14,program,,,2014
49 14 01,sub-program,,,2014
49 14 02,sub-program,,,2014
49 14 03,sub-program,,,2014
49 14 04,sub-program,,,2014
49 14 05,sub-program,,,2014
49 14 06,sub-program,,,2014
49 14 08,sub-program,,,2014
49 14 09,sub-program,,,2014
49 14 12,sub-program,,,2014
49 14 13,sub-program,,,2014
50 00,spending agency,სსიპ - საჯარო სამსახურის ბიურო,,2014
51 00,spending agency,პერსონალურ მონაცემთა დაცვის ინსპექტორის აპარატი,,2014
51 01,program,,,2014
51 01 01,sub-program,,,2014
51 01 01,sub-program,,,2014
51 01 01,sub-program,,,2014
51 01 01,sub-program,,,2014
51 01 01,sub-program,,,2014
51 01 01,sub-program,,,2014
51 01 01,sub-program,,,2014
51 01 01,sub-program,,,2014
51 01 01,sub-program,,,2014
51 01 01,sub-program,,,2014
51 01 01,sub-program,,,2014
51 01 01,sub-program,,,2014
51 01 01,sub-program,,,2014
51 02,program,,,2014
51 03,program,,,2014
51 04,program,,,2014
51 04 01 01,sub-sub-program,,,2014
51 04 01 02,sub-sub-program,,,2014
51 05,program,,,2014
51 06,program,,,2014
51 07,program,,,2014
51 08,program,,,2014
51 09,program,,,2014
51 10,program,,,2014
51 11,program,,,2014
52 00,spending agency,სავაჭრო-სამრეწველო პალატა,,2014
53 00,spending agency,საერთო სახელმწიფოებრივი მნიშვნელობის გადასახდელები,,2014
53 01,program,საგარეო სახელმწიფო ვალდებულებების მომსახურება და დაფარვა,,2014
53 02,program,საშინაო სახელმწიფო ვალდებულებების მომსახურება და დაფარვა,,2014
53 03,program,საერთაშორისო ორგანიზაციებში საქართველოს მონაწილეობიდან გამომდინარე არსებული ვალდებულებები,,2014
53 04,program,ავტონომიური რესპუბლიკებისა და ადგილობრივი თვითმმართველი ერთეულებისათვის გადასაცემი ტრანსფერები,,2014
53 04 01,sub-program,ავტონომიური რესპუბლიკებისათვის გადასაცემი ტრანსფერები,,2014
53 04 01 01,sub-sub-program,აფხაზეთის ავტონომიური რესპუბლიკისათვის გადასაცემი ტრანსფერი,,2014
53 04 01 02,sub-sub-program,აჭარის ავტონომიური რესპუბლიკისათვის გადასაცემი ტრანსფერი,,2014
53 04 02,sub-program,ადგილობრივი თვითმმართველი ერთეულებისათვის გადასაცემი ტრანსფერები,,2014
53 05,program,საქართველოს პრეზიდენტის სარეზერვო ფონდი,,2014
53 06,program,საქართველოს მთავრობის სარეზერვო ფონდი,,2014
53 07,program,წინა წლებში წარმოქმნილი დავალიანების დაფარვისა და სასამართლო გადაწყვეტილებების აღსრულების ფონდი,,2014
53 08,program,საქართველოს რეგიონებში განსახორციელებელი პროექტების ფონდი,,2014
53 09,program,სოფლის მხარდაჭერის პროგრამა,,2014
53 10,program,საქართველოს სახელმწიფო ჯილდოებისათვის დაწესებული ერთდროული ფულადი პრემიების გაცემის ფინანსური უზრუნველყოფა,,2014
53 11,program,დონორების მიერ დაფინანსებული საერთო სახელმწიფოებრივი გადასახდელები,,2014
53 11 01,sub-program,"ორმხრივი, რეგიონალური და რეგიონთაშორისი პროექტები (გერმანიის საერთაშორისო თანამშრომლობის საზოგადოება)",,2014
53 11 02,sub-program,KfW-ის ადგილობრივი ოფისის საოპერაციო ხარჯების თანადაფინანსება (გერმანიის რეკონსტრუქციის საკრედიტო ბანკი),,2014
53 11 03,sub-program,აჭარის მყარი ნარჩენების პროექტი (ევროპის რეკონსტრუქციისა და განვითარების ბანკი),,2014
